id,category,keywords,title,content
"informasi_kampus_0","profil","informasi kampus","Informasi Kampus","Update informasi Terbaru Dari Universitas CIC Cirebon"
"info_pmb_1","profil","info","Info PMB","Informasi Mengenai Penerimaan Mahasiswa Baru Universitas CIC"
"berita_seputar_kampus_2","profil","berita seputar kampus","Berita Seputar Kampus","Program Studi Sistem Informasi UCIC Raih Akreditasi “Baik Sekali” dari LAM INFOKOM Lihat Selengkapnya"
"kegiatan_kampus_3","profil","kegiatan kampus","Kegiatan Kampus","FTI UCIC Lakukan Benchmarking Kurikulum ke FSI UNJANI: Sinergi Menuju Kurikulum Adaptif dan Kolaboratif Lihat Selengkapnya"
"mahasiswa_berprestasi_4","profil","mahasiswa berprestasi","Mahasiswa Berprestasi","Nopi Fitrianingsih S1 - Sistem Informasi Komputerisasi Akutansi Raihan IPK Terbaik dari jurusan Sistem Informasi Komputer Akutansi Angkatan 2016 dengan IPK 3,95 Kristianto S1 - Teknik Informatika Raihan IPK Terbaik dari jurusan Teknik Informatika Angkatan 2016 dengan IPK 4,00. Noni Apriliani S1 - Teknik Informatika Peraih IPK Terbaik dari jurusan Teknik Informatika Angkatan 2017 dengan Raihan IPK 4,00"
"kata_sambutan_rektor_universitas_cic_0","profil","kata sambutan rektor universitas","Kata Sambutan Rektor - Universitas CIC","Assalamu'alaikum Wr.Wb.,  Salam Sejahtera, Puji syukur ke hadirat Tuhan Yang Maha Esa, yang tidak henti-hentinya mencurahkan Rahmat dan HidayahNya bagi kita semua. Kehadiran website Universitas CIC yang mudah diakses, akurat dan informatif, kiranya dapat mempermudah bagi keluarga besar civitas akademika Universitas CIC dan masyarakat luas untuk mendapatkan informasi tentang Universitas CIC, pendaftaran, Beasiswa, Sistem Informasi Manajemen Akademik (SIMAK), perpustakaan, kegiatan Olahraga, Iptek, Seni Budaya, Penelitian dan informasi lainnya. Pendirian Universitas CIC diawali dengan berdirinya Lembaga Pendidikan Kursus dan Pelatihan CIC (dahulu Cirebon Institute of Computer) pada tanggal 13 Januari 1984, yang berarti sudah lebih dari 30 tahun secara konsisten dan komitmen berkiprah di dunia pendidikan. Pada tahun 1999 Lembaga Pendidikan CIC mengembangkan diri dengan mendirikan Sekolah Tinggi Manajemen Informatika dan Komputer Catur Insan Cendekia (STMIK CIC) dengan ijin operasional resmi dari Menteri Pendidikan Nasional nomer 123/D/O/1999 dan pada tanggal 21 Oktober 2019 STMIK CIC beralih status menjadi Universitas CIC yang telah disahkan oleh kemenristekdik. Konsistensi Universitas CIC sebagai IT (Information Technology) SCHOOL diharapkan mampu memberikan kontribusi positif berupa ilmu pengetahuan berbasis IT kepada dunia usaha dan industri serta mendukung langkah-langkah pemerintah daerah se-karesidenan Cirebon menuju Good Corporate Governance. Universitas CIC sejak tahun 2005 telah mendapatkan akreditasi dari BAN-PT(Badan Akreditasi Perguruan Tinggi) untuk 4 (empat) program studi yang ada di lingkungan STMIK CIC,yaitu Program Studi Sistem Informasi, Program Studi Teknik Informatika, Program Studi Manajemen Informatika dan Program Studi Komputerisasi Akuntansi, sehingga STMIK CIC menjadi satu-satunya Perguruan Tinggi Komputer yang semua program studinya terakreditasi oleh BAN-PT dan proaktif untuk terus melakukan re-akreditasi pada setiap program studi yang ada di"
"visi_misi_tujuan_universitas_cic_0","visi_misi","visi misi tujuan universitas","Visi Misi & Tujuan - Universitas CIC","Universitas CIC juga menjalankan perannya sebagai Knowledge based dengan melakukan kerjasama-kerjasama dengan dunia usaha dan industri serta pemerintah daerah se-karesidenan Cirebon,   baik berupa kajian kurikulum berbasis PBL (Problem Based Learning), pengiriman tenaga praktisi untuk mengajar di Universitas CIC maupun penyaluran mahasiswa/i untuk praktek kerja lapang   dan menyerap lulusan Universitas CIC serta menjadikan lulusan Universitas CIC sebagai wirausaha tangguh di era global. Untuk mewujudkan hal tersebut Universitas CIC    memiliki visi, misi, serta tujuan yaitu sebagai berikut : ""Menjadi universitas yang berorientasi dalam bidang teknologi dan kewirausahaan, untuk mendukung masyarakat daerah dengan menghasilkan lulusan yang marnpu untuk menanggapi perubahan jaman."" 1. Menyelenggarakan pengajaran yang berfokus untuk menghasilkan lulusan-lulusan yang mampu untuk menanggapi perubahan jaman. 2. Mendukung dan menciptakan lingkungan yang positif untuk pembelajaran, inovasi, dan penerapan dalam bidang teknologi dan kewirausahaan. 3. Menjalankan aktivitas Tri Dharma untuk memberikan kontribusi terhadap masyarakat daerah. 4. Menyelenggarakan pendidikan tinggi yang terjangkau dalam memperluas akses pendidikan di masyarakat daerah. Tujuan strategis institusi dirumuskan dalam Rencana Strategis Perguruan Tinggi Universitas Catur Insan Cendekia, tujuan strategis yang ingin dicapai Universitas CIC adalah : 1. Menghasilkan mahasiswa yang unggul dan berprestasi di tingkat nasional serta memiliki jiwa technopreneur. 2. Menghasilkan sistem pembelajaran yang bermutu berbasis teknologi informasi. 3. Menghasilkan dosen dan tenaga kependidikan yang bermutu dan kompeten dalam bidangnya. 4. Menghasilkan penelitian dosen yang berkualitas dan memberi kontribusi bagi pengembangan riset di Indonesia. 5. Menciptakan suasana akademik yang kondusif bagi pengembangan penelitian di institusi. 6. Memberikan kontribusi positif bagi masyarakat melalu kegiatan pengabdian kepada masyarakat y"
"sejarah_cic_universitas_cic_0","profil","sejarah universitas","Sejarah CIC - Universitas CIC","CIC mulai didirikan pada tahun 1984 sebagai lembaga pendidikan kursus dan pelatihan. Pada tahun 1994, CIC mendirikan Akademi Perdagangan Widya Dharma. Kemudian Lembaga pendidikan CIC berkembang dengan mendirikan Sekolah Tinggi Manajemen Informatika dan Komputer (STMIK) Catur Insan Cendekia pada 1999. Pada tahun 2006 Akademi Perdagangan Widya Dharma berubah nama menjadi Akademi Perdagangan CIC. Universitas Catur Insan Cendekia (UCIC) merupakan hasil penggabungan antara Akademi Perdagangan Catur Insan Cendekia dan Sekolah Tinggi Manajemen Informatika Komputer (STMIK) CIC pada tahun 2019, dan mendapat pengesahan dengan terbitnya Surat Keputusan Menteri Riset, Teknologi dan Pendidikan Tinggi Republik Indonesia Nomor 952/KPT/I/2019 tertanggal 10 Oktober 2019. UCIC saat ini memiliki 2 Fakultas, yaitu Fakultas Ekonomi dan Bisnis serta Fakultas Teknologi Informasi. Universitas Catur Insan Cendekia (UCIC) sebagai holding bagi unit bisnis dan usaha yang ada di bawahnya. UCIC saat ini memiliki ekosistem di bidang pendidikan, kemanusiaan atau sosial, dan Unit bisnis yang mendukung pelaksanaan kegiatan Tridharma Perguruan Tinggi serta menjadi other income bagi UCIC. Di bidang pendidikan, terdapat Sekolah Pelita Bangsa Cambridge International School dari jenjang Playgroup hingga SMA dengan status akreditasi A pada setiap jenjang yang didirikan pada tahun 2006, International Language school EF English First Kota Cirebon yang didirikan pada tahun 1997, Enspire School of Digital Art (ESDA) pada 2019, dan Code First yang didirikan pada 2020. Di bidang Sosial dan Kemasyarakatan terdapat Harapanku Insan Sejahtera yang didirikan pada tahun 2001, yang membantu masyarakat disabilitas, dan mendampingi serta melatih kemandirian anak-anak Down Syndrome melalui Griya Karya Harapanku. Di bidang unit bisnis terdapat Bisnis Properti berupa Perumahan Taman Cipto yang didirikan pada 2006 dan Perumahan Taman Wahidin yang didirikan pada 1996. Bisnis lainnya adalah Sport Center Taman Cipto, Sport Cen"
"program_studi_teknik_informatika_univers_0","akademik","program studi teknik informatika universitas","Program Studi Teknik Informatika - Universitas CIC","Program Studi Teknik Informatika memberikan penguasaan dan kemampuan kepada mahasiswa untuk membangun dan mengembangkan berbagai aspek teknis teknologi informasi. Penekanan dari program studi ini adalah pada bidang pemrograman dan komputasi, rekayasa perangkat lunak untuk berbagai bidang aplikasi dalam berbagai bidang usaha, dan teknologi jaringan komputer. Selain itu program studi ini memberikan bidang-bidang ilmu yang berkaitan dengan pengembangan sistem informasi dan pemanfaatan teknologi lainnya dengan tujuan dapat meningkatkan efisiensi kerja di berbagai bidang usaha yang menerapkan komputerisasi. Program Studi Teknik Informatika akan memberikan bekal kepada mahasiswa untuk mampu melakukan analisa dan perancangan komputasi, melakukan rekayasa perangkat lunak untuk meningkatkan performance perangkat lunak, dan penguasaan dalam teknik-teknik optimasi perangkat lunak. Secara garis besar materi perkuliahan pada program studi ini disesuaikan dengan kurikulum nasional dan mengacu kepada kebutuhan pasar dunia kerja yang dapat dikelompokkan menjadi : Program Studi Teknik Informatika dengan jenjang pendidikan Strata Satu (S1) dilaksanakan dalam 8 Semester dengan jumlah total SKS (Satuan Kredit Semester) 144 SKS"
"program_studi_sistem_informasi_universit_0","akademik","program studi sistem informasi universitas","Program Studi Sistem Informasi - Universitas CIC","Program studi Sistem Informasi ini lebih berfokus pada hal-hal yang terkait dengan pengelolaan informasi dalam organisasi untuk mendukung pencapaian tujuan organisasi. Sistem Informasi mempelajari berbagai aspek mencakup perencanaan Sistem Informasi, perancangan Sistem Informasi, pembangunan Sistem Informasi, operasional Sistem Informasi, evaluasi Sistem Informasi. Jadi para profesional di bidang Sistem Informasi harus dapat memahami faktor-faktor orang, proses bisnis dan teknologi dari suatu organisasi, dan harus dapat membantu organisasi tersebut untuk menentukan bagaimana informasi dan proses bisnis yang didukung oleh teknologi dapat menjadi landasan untuk unjuk kinerja yang tinggi dari organisasi tersebut. Para profesional Sistem Informasi menjadi jembatan antara kelompok teknis dan bisnis dalam organisasi tersebut Lulusan Program Studi Sistem Informasi UCIC memiliki kesempatan untuk bekerja di berbagai tempat antara lain (namun tidak terbatas): Perusahaan Swasta, BUMD dan BUMN, Perusahaan Internasional, Perusahaan Start-up. Namun selain secara langsung bekerja, lulusan bisa melanjutkan sekolah S2. Beberapa profesi/pekerjaan lulusan adalah sebagai berikut: 1.	Kerjasama dengan Indurstri dan Instansi Pendidikan. 			2.	Kurikulum mengacu Standart Pendidikan Tinggi. 			3.	Metode Pembelajaran Uptodate. 			4.	Dosen & Praktisi Berkompeten. 			5.	Lulusan dibekali Sertifikat."
